year,rgn_id,species,common_name,category,postcards,magnets,tour_operators,pmt,wildlife_trusts
2009,2,Puffinus puffinus,Manx Shearwater,LC,0,0,1,1,1
2010,2,Puffinus puffinus,Manx Shearwater,LC,0,0,1,1,1
2011,2,Puffinus puffinus,Manx Shearwater,LC,0,0,1,1,1
2012,2,Puffinus puffinus,Manx Shearwater,LC,0,0,1,1,1
2013,2,Puffinus puffinus,Manx Shearwater,LC,0,0,1,1,1
2014,2,Puffinus puffinus,Manx Shearwater,LC,0,0,1,1,1
2015,2,Puffinus puffinus,Manx Shearwater,LC,0,0,1,1,1
2016,2,Puffinus puffinus,Manx Shearwater,LC,0,0,1,1,1
2017,2,Puffinus puffinus,Manx Shearwater,LC,0,0,1,1,1
2018,2,Puffinus puffinus,Manx Shearwater,LC,0,0,1,1,1
2000,2,Rissa tridactyla,Black-legged Kittiwake,LR/lc,0,0,0,0,1
2001,2,Rissa tridactyla,Black-legged Kittiwake,LR/lc,0,0,0,0,1
2002,2,Rissa tridactyla,Black-legged Kittiwake,LR/lc,0,0,0,0,1
2003,2,Rissa tridactyla,Black-legged Kittiwake,LR/lc,0,0,0,0,1
2004,2,Rissa tridactyla,Black-legged Kittiwake,LC,0,0,0,0,1
2005,2,Rissa tridactyla,Black-legged Kittiwake,LC,0,0,0,0,1
2006,2,Rissa tridactyla,Black-legged Kittiwake,LC,0,0,0,0,1
2007,2,Rissa tridactyla,Black-legged Kittiwake,LC,0,0,0,0,1
2008,2,Rissa tridactyla,Black-legged Kittiwake,LC,0,0,0,0,1
2009,2,Rissa tridactyla,Black-legged Kittiwake,LC,0,0,0,0,1
2010,2,Rissa tridactyla,Black-legged Kittiwake,LC,0,0,0,0,1
2011,2,Rissa tridactyla,Black-legged Kittiwake,LC,0,0,0,0,1
2012,2,Rissa tridactyla,Black-legged Kittiwake,LC,0,0,0,0,1
2013,2,Rissa tridactyla,Black-legged Kittiwake,LC,0,0,0,0,1
2014,2,Rissa tridactyla,Black-legged Kittiwake,LC,0,0,0,0,1
2015,2,Rissa tridactyla,Black-legged Kittiwake,LC,0,0,0,0,1
2016,2,Rissa tridactyla,Black-legged Kittiwake,LC,0,0,0,0,1
2017,2,Rissa tridactyla,Black-legged Kittiwake,VU,0,0,0,0,1
2018,2,Rissa tridactyla,Black-legged Kittiwake,VU,0,0,0,0,1
2000,2,Sterna dougallii,Roseate Tern,LR/lc,0,0,0,0,1
2001,2,Sterna dougallii,Roseate Tern,LR/lc,0,0,0,0,1
2002,2,Sterna dougallii,Roseate Tern,LR/lc,0,0,0,0,1
2003,2,Sterna dougallii,Roseate Tern,LR/lc,0,0,0,0,1
2004,2,Sterna dougallii,Roseate Tern,LC,0,0,0,0,1
2005,2,Sterna dougallii,Roseate Tern,LC,0,0,0,0,1
2006,2,Sterna dougallii,Roseate Tern,LC,0,0,0,0,1
2007,2,Sterna dougallii,Roseate Tern,LC,0,0,0,0,1
2008,2,Sterna dougallii,Roseate Tern,LC,0,0,0,0,1
2009,2,Sterna dougallii,Roseate Tern,LC,0,0,0,0,1
2010,2,Sterna dougallii,Roseate Tern,LC,0,0,0,0,1
2011,2,Sterna dougallii,Roseate Tern,LC,0,0,0,0,1
2012,2,Sterna dougallii,Roseate Tern,LC,0,0,0,0,1
2013,2,Sterna dougallii,Roseate Tern,LC,0,0,0,0,1
2014,2,Sterna dougallii,Roseate Tern,LC,0,0,0,0,1
2015,2,Sterna dougallii,Roseate Tern,LC,0,0,0,0,1
2016,2,Sterna dougallii,Roseate Tern,LC,0,0,0,0,1
2017,2,Sterna dougallii,Roseate Tern,LC,0,0,0,0,1
2018,2,Sterna dougallii,Roseate Tern,LC,0,0,0,0,1
2000,2,Sterna hirundo,Common Tern,LR/lc,0,0,0,0,1
2001,2,Sterna hirundo,Common Tern,LR/lc,0,0,0,0,1
2002,2,Sterna hirundo,Common Tern,LR/lc,0,0,0,0,1
2003,2,Sterna hirundo,Common Tern,LR/lc,0,0,0,0,1
2004,2,Sterna hirundo,Common Tern,LC,0,0,0,0,1
2005,2,Sterna hirundo,Common Tern,LC,0,0,0,0,1
2006,2,Sterna hirundo,Common Tern,LC,0,0,0,0,1
2007,2,Sterna hirundo,Common Tern,LC,0,0,0,0,1
2008,2,Sterna hirundo,Common Tern,LC,0,0,0,0,1
2009,2,Sterna hirundo,Common Tern,LC,0,0,0,0,1
2010,2,Sterna hirundo,Common Tern,LC,0,0,0,0,1
2011,2,Sterna hirundo,Common Tern,LC,0,0,0,0,1
2012,2,Sterna hirundo,Common Tern,LC,0,0,0,0,1
2013,2,Sterna hirundo,Common Tern,LC,0,0,0,0,1
2014,2,Sterna hirundo,Common Tern,LC,0,0,0,0,1
2015,2,Sterna hirundo,Common Tern,LC,0,0,0,0,1
2016,2,Sterna hirundo,Common Tern,LC,0,0,0,0,1
2017,2,Sterna hirundo,Common Tern,LC,0,0,0,0,1
2018,2,Sterna hirundo,Common Tern,LC,0,0,0,0,1
2000,2,Thalasseus sandvicensis,Sandwich Tern,LR/lc,0,0,0,0,1
2001,2,Thalasseus sandvicensis,Sandwich Tern,LR/lc,0,0,0,0,1
2002,2,Thalasseus sandvicensis,Sandwich Tern,LR/lc,0,0,0,0,1
2003,2,Thalasseus sandvicensis,Sandwich Tern,LR/lc,0,0,0,0,1
2004,2,Thalasseus sandvicensis,Sandwich Tern,LC,0,0,0,0,1
2005,2,Thalasseus sandvicensis,Sandwich Tern,LC,0,0,0,0,1
2006,2,Thalasseus sandvicensis,Sandwich Tern,LC,0,0,0,0,1
2007,2,Thalasseus sandvicensis,Sandwich Tern,LC,0,0,0,0,1
2008,2,Thalasseus sandvicensis,Sandwich Tern,LC,0,0,0,0,1
2009,2,Thalasseus sandvicensis,Sandwich Tern,LC,0,0,0,0,1
2010,2,Thalasseus sandvicensis,Sandwich Tern,LC,0,0,0,0,1
2011,2,Thalasseus sandvicensis,Sandwich Tern,LC,0,0,0,0,1
2012,2,Thalasseus sandvicensis,Sandwich Tern,LC,0,0,0,0,1
2013,2,Thalasseus sandvicensis,Sandwich Tern,LC,0,0,0,0,1
2014,2,Thalasseus sandvicensis,Sandwich Tern,LC,0,0,0,0,1
2015,2,Thalasseus sandvicensis,Sandwich Tern,LC,0,0,0,0,1
2016,2,Thalasseus sandvicensis,Sandwich Tern,LC,0,0,0,0,1
2017,2,Thalasseus sandvicensis,Sandwich Tern,LC,0,0,0,0,1
2018,2,Thalasseus sandvicensis,Sandwich Tern,LC,0,0,0,0,1
2000,2,Uria aalge,Common Murre,LR/lc,0,0,1,1,1
2001,2,Uria aalge,Common Murre,LR/lc,0,0,1,1,1
2002,2,Uria aalge,Common Murre,LR/lc,0,0,1,1,1
2003,2,Uria aalge,Common Murre,LR/lc,0,0,1,1,1
2004,2,Uria aalge,Common Murre,LC,0,0,1,1,1
2005,2,Uria aalge,Common Murre,LC,0,0,1,1,1
2006,2,Uria aalge,Common Murre,LC,0,0,1,1,1
2007,2,Uria aalge,Common Murre,LC,0,0,1,1,1
2008,2,Uria aalge,Common Murre,LC,0,0,1,1,1
2009,2,Uria aalge,Common Murre,LC,0,0,1,1,1
2010,2,Uria aalge,Common Murre,LC,0,0,1,1,1
2011,2,Uria aalge,Common Murre,LC,0,0,1,1,1
2012,2,Uria aalge,Common Murre,LC,0,0,1,1,1
2013,2,Uria aalge,Common Murre,LC,0,0,1,1,1
2014,2,Uria aalge,Common Murre,LC,0,0,1,1,1
2015,2,Uria aalge,Common Murre,LC,0,0,1,1,1
2016,2,Uria aalge,Common Murre,LC,0,0,1,1,1
2017,2,Uria aalge,Common Murre,LC,0,0,1,1,1
2018,2,Uria aalge,Common Murre,LC,0,0,1,1,1
2000,2,Cetorhinus maximus,Basking Shark,VU,0,1,1,2,1
2001,2,Cetorhinus maximus,Basking Shark,VU,0,1,1,2,1
2002,2,Cetorhinus maximus,Basking Shark,VU,0,1,1,2,1
2003,2,Cetorhinus maximus,Basking Shark,VU,0,1,1,2,1
2004,2,Cetorhinus maximus,Basking Shark,VU,0,1,1,2,1
2005,2,Cetorhinus maximus,Basking Shark,VU,0,1,1,2,1
2006,2,Cetorhinus maximus,Basking Shark,VU,0,1,1,2,1
2007,2,Cetorhinus maximus,Basking Shark,VU,0,1,1,2,1
2008,2,Cetorhinus maximus,Basking Shark,VU,0,1,1,2,1
2009,2,Cetorhinus maximus,Basking Shark,VU,0,1,1,2,1
2010,2,Cetorhinus maximus,Basking Shark,VU,0,1,1,2,1
2011,2,Cetorhinus maximus,Basking Shark,VU,0,1,1,2,1
2012,2,Cetorhinus maximus,Basking Shark,VU,0,1,1,2,1
2013,2,Cetorhinus maximus,Basking Shark,VU,0,1,1,2,1
2014,2,Cetorhinus maximus,Basking Shark,VU,0,1,1,2,1
2015,2,Cetorhinus maximus,Basking Shark,VU,0,1,1,2,1
2016,2,Cetorhinus maximus,Basking Shark,VU,0,1,1,2,1
2017,2,Cetorhinus maximus,Basking Shark,VU,0,1,1,2,1
2018,2,Cetorhinus maximus,Basking Shark,VU,0,1,1,2,1
2000,2,Galeorhinus galeus,Tope,VU,0,0,0,0,1
2001,2,Galeorhinus galeus,Tope,VU,0,0,0,0,1
2002,2,Galeorhinus galeus,Tope,VU,0,0,0,0,1
2003,2,Galeorhinus galeus,Tope,VU,0,0,0,0,1
2004,2,Galeorhinus galeus,Tope,VU,0,0,0,0,1
2005,2,Galeorhinus galeus,Tope,VU,0,0,0,0,1
2006,2,Galeorhinus galeus,Tope,VU,0,0,0,0,1
2007,2,Galeorhinus galeus,Tope,VU,0,0,0,0,1
2008,2,Galeorhinus galeus,Tope,VU,0,0,0,0,1
2009,2,Galeorhinus galeus,Tope,VU,0,0,0,0,1
2010,2,Galeorhinus galeus,Tope,VU,0,0,0,0,1
2011,2,Galeorhinus galeus,Tope,VU,0,0,0,0,1
2012,2,Galeorhinus galeus,Tope,VU,0,0,0,0,1
2013,2,Galeorhinus galeus,Tope,VU,0,0,0,0,1
2014,2,Galeorhinus galeus,Tope,VU,0,0,0,0,1
2015,2,Galeorhinus galeus,Tope,VU,0,0,0,0,1
2016,2,Galeorhinus galeus,Tope,VU,0,0,0,0,1
2017,2,Galeorhinus galeus,Tope,VU,0,0,0,0,1
2018,2,Galeorhinus galeus,Tope,VU,0,0,0,0,1
2000,2,Prionace glauca,Blue Shark,LR/nt,0,0,0,0,1
2001,2,Prionace glauca,Blue Shark,LR/nt,0,0,0,0,1
2002,2,Prionace glauca,Blue Shark,LR/nt,0,0,0,0,1
2003,2,Prionace glauca,Blue Shark,LR/nt,0,0,0,0,1
2004,2,Prionace glauca,Blue Shark,LR/nt,0,0,0,0,1
2005,2,Prionace glauca,Blue Shark,LR/nt,0,0,0,0,1
2006,2,Prionace glauca,Blue Shark,LR/nt,0,0,0,0,1
2007,2,Prionace glauca,Blue Shark,LR/nt,0,0,0,0,1
2008,2,Prionace glauca,Blue Shark,LR/nt,0,0,0,0,1
2009,2,Prionace glauca,Blue Shark,NT,0,0,0,0,1
2010,2,Prionace glauca,Blue Shark,NT,0,0,0,0,1
2011,2,Prionace glauca,Blue Shark,NT,0,0,0,0,1
2012,2,Prionace glauca,Blue Shark,NT,0,0,0,0,1
2013,2,Prionace glauca,Blue Shark,NT,0,0,0,0,1
2014,2,Prionace glauca,Blue Shark,NT,0,0,0,0,1
2015,2,Prionace glauca,Blue Shark,NT,0,0,0,0,1
2016,2,Prionace glauca,Blue Shark,NT,0,0,0,0,1
2017,2,Prionace glauca,Blue Shark,NT,0,0,0,0,1
2018,2,Prionace glauca,Blue Shark,NT,0,0,0,0,1
2000,2,Raja clavata,Thornback Skate,LR/nt,0,0,0,0,1
2001,2,Raja clavata,Thornback Skate,LR/nt,0,0,0,0,1
2002,2,Raja clavata,Thornback Skate,LR/nt,0,0,0,0,1
2003,2,Raja clavata,Thornback Skate,LR/nt,0,0,0,0,1
2004,2,Raja clavata,Thornback Skate,LR/nt,0,0,0,0,1
2005,2,Raja clavata,Thornback Skate,NT,0,0,0,0,1
2006,2,Raja clavata,Thornback Skate,NT,0,0,0,0,1
2007,2,Raja clavata,Thornback Skate,NT,0,0,0,0,1
2008,2,Raja clavata,Thornback Skate,NT,0,0,0,0,1
2009,2,Raja clavata,Thornback Skate,NT,0,0,0,0,1
2010,2,Raja clavata,Thornback Skate,NT,0,0,0,0,1
2011,2,Raja clavata,Thornback Skate,NT,0,0,0,0,1
2012,2,Raja clavata,Thornback Skate,NT,0,0,0,0,1
2013,2,Raja clavata,Thornback Skate,NT,0,0,0,0,1
2014,2,Raja clavata,Thornback Skate,NT,0,0,0,0,1
2015,2,Raja clavata,Thornback Skate,NT,0,0,0,0,1
2016,2,Raja clavata,Thornback Skate,NT,0,0,0,0,1
2017,2,Raja clavata,Thornback Skate,NT,0,0,0,0,1
2018,2,Raja clavata,Thornback Skate,NT,0,0,0,0,1
2009,2,Scyliorhinus canicula,Small Spotted Catshark,LC,0,0,0,0,1
2010,2,Scyliorhinus canicula,Small Spotted Catshark,LC,0,0,0,0,1
2011,2,Scyliorhinus canicula,Small Spotted Catshark,LC,0,0,0,0,1
2012,2,Scyliorhinus canicula,Small Spotted Catshark,LC,0,0,0,0,1
2013,2,Scyliorhinus canicula,Small Spotted Catshark,LC,0,0,0,0,1
2014,2,Scyliorhinus canicula,Small Spotted Catshark,LC,0,0,0,0,1
2015,2,Scyliorhinus canicula,Small Spotted Catshark,LC,0,0,0,0,1
2016,2,Scyliorhinus canicula,Small Spotted Catshark,LC,0,0,0,0,1
2017,2,Scyliorhinus canicula,Small Spotted Catshark,LC,0,0,0,0,1
2018,2,Scyliorhinus canicula,Small Spotted Catshark,LC,0,0,0,0,1
2011,2,Homarus gammarus,European Lobster,LC,0,1,0,1,1
2012,2,Homarus gammarus,European Lobster,LC,0,1,0,1,1
2013,2,Homarus gammarus,European Lobster,LC,0,1,0,1,1
2014,2,Homarus gammarus,European Lobster,LC,0,1,0,1,1
2015,2,Homarus gammarus,European Lobster,LC,0,1,0,1,1
2016,2,Homarus gammarus,European Lobster,LC,0,1,0,1,1
2017,2,Homarus gammarus,European Lobster,LC,0,1,0,1,1
2018,2,Homarus gammarus,European Lobster,LC,0,1,0,1,1
2011,2,Palinurus mauritanicus,Pink Spiny Lobster,LC,0,0,0,0,1
2012,2,Palinurus mauritanicus,Pink Spiny Lobster,LC,0,0,0,0,1
2013,2,Palinurus mauritanicus,Pink Spiny Lobster,LC,0,0,0,0,1
2014,2,Palinurus mauritanicus,Pink Spiny Lobster,LC,0,0,0,0,1
2015,2,Palinurus mauritanicus,Pink Spiny Lobster,LC,0,0,0,0,1
2016,2,Palinurus mauritanicus,Pink Spiny Lobster,LC,0,0,0,0,1
2017,2,Palinurus mauritanicus,Pink Spiny Lobster,LC,0,0,0,0,1
2018,2,Palinurus mauritanicus,Pink Spiny Lobster,LC,0,0,0,0,1
2000,2,Delphinus delphis,Short-beaked Common Dolphin,LR/lc,0,0,1,1,1
2001,2,Delphinus delphis,Short-beaked Common Dolphin,LR/lc,0,0,1,1,1
2002,2,Delphinus delphis,Short-beaked Common Dolphin,LR/lc,0,0,1,1,1
2003,2,Delphinus delphis,Short-beaked Common Dolphin,LR/lc,0,0,1,1,1
2004,2,Delphinus delphis,Short-beaked Common Dolphin,LR/lc,0,0,1,1,1
2005,2,Delphinus delphis,Short-beaked Common Dolphin,LR/lc,0,0,1,1,1
2006,2,Delphinus delphis,Short-beaked Common Dolphin,LR/lc,0,0,1,1,1
2007,2,Delphinus delphis,Short-beaked Common Dolphin,LR/lc,0,0,1,1,1
2008,2,Delphinus delphis,Short-beaked Common Dolphin,LC,0,0,1,1,1
2009,2,Delphinus delphis,Short-beaked Common Dolphin,LC,0,0,1,1,1
2010,2,Delphinus delphis,Short-beaked Common Dolphin,LC,0,0,1,1,1
2011,2,Delphinus delphis,Short-beaked Common Dolphin,LC,0,0,1,1,1
2012,2,Delphinus delphis,Short-beaked Common Dolphin,LC,0,0,1,1,1
2013,2,Delphinus delphis,Short-beaked Common Dolphin,LC,0,0,1,1,1
2014,2,Delphinus delphis,Short-beaked Common Dolphin,LC,0,0,1,1,1
2015,2,Delphinus delphis,Short-beaked Common Dolphin,LC,0,0,1,1,1
2016,2,Delphinus delphis,Short-beaked Common Dolphin,LC,0,0,1,1,1
2017,2,Delphinus delphis,Short-beaked Common Dolphin,LC,0,0,1,1,1
2018,2,Delphinus delphis,Short-beaked Common Dolphin,LC,0,0,1,1,1
2000,2,Halichoerus grypus,Grey Seal,LR/lc,1,0,1,2,1
2001,2,Halichoerus grypus,Grey Seal,LR/lc,1,0,1,2,1
2002,2,Halichoerus grypus,Grey Seal,LR/lc,1,0,1,2,1
2003,2,Halichoerus grypus,Grey Seal,LR/lc,1,0,1,2,1
2004,2,Halichoerus grypus,Grey Seal,LR/lc,1,0,1,2,1
2005,2,Halichoerus grypus,Grey Seal,LR/lc,1,0,1,2,1
2006,2,Halichoerus grypus,Grey Seal,LR/lc,1,0,1,2,1
2007,2,Halichoerus grypus,Grey Seal,LR/lc,1,0,1,2,1
2008,2,Halichoerus grypus,Grey Seal,LC,1,0,1,2,1
2009,2,Halichoerus grypus,Grey Seal,LC,1,0,1,2,1
2010,2,Halichoerus grypus,Grey Seal,LC,1,0,1,2,1
2011,2,Halichoerus grypus,Grey Seal,LC,1,0,1,2,1
2012,2,Halichoerus grypus,Grey Seal,LC,1,0,1,2,1
2013,2,Halichoerus grypus,Grey Seal,LC,1,0,1,2,1
2014,2,Halichoerus grypus,Grey Seal,LC,1,0,1,2,1
2015,2,Halichoerus grypus,Grey Seal,LC,1,0,1,2,1
2016,2,Halichoerus grypus,Grey Seal,LC,1,0,1,2,1
2017,2,Halichoerus grypus,Grey Seal,LC,1,0,1,2,1
2018,2,Halichoerus grypus,Grey Seal,LC,1,0,1,2,1
2000,2,Orcinus orca,Killer Whale,LR/cd,0,0,0,0,1
2001,2,Orcinus orca,Killer Whale,LR/cd,0,0,0,0,1
2002,2,Orcinus orca,Killer Whale,LR/cd,0,0,0,0,1
2003,2,Orcinus orca,Killer Whale,LR/cd,0,0,0,0,1
2004,2,Orcinus orca,Killer Whale,LR/cd,0,0,0,0,1
2005,2,Orcinus orca,Killer Whale,LR/cd,0,0,0,0,1
2006,2,Orcinus orca,Killer Whale,LR/cd,0,0,0,0,1
2007,2,Orcinus orca,Killer Whale,LR/cd,0,0,0,0,1
2008,2,Orcinus orca,Killer Whale,DD,0,0,0,0,1
2009,2,Orcinus orca,Killer Whale,DD,0,0,0,0,1
2010,2,Orcinus orca,Killer Whale,DD,0,0,0,0,1
2011,2,Orcinus orca,Killer Whale,DD,0,0,0,0,1
2012,2,Orcinus orca,Killer Whale,DD,0,0,0,0,1
2013,2,Orcinus orca,Killer Whale,DD,0,0,0,0,1
2014,2,Orcinus orca,Killer Whale,DD,0,0,0,0,1
2015,2,Orcinus orca,Killer Whale,DD,0,0,0,0,1
2016,2,Orcinus orca,Killer Whale,DD,0,0,0,0,1
2017,2,Orcinus orca,Killer Whale,DD,0,0,0,0,1
2018,2,Orcinus orca,Killer Whale,DD,0,0,0,0,1
2000,2,Phoca vitulina,Harbor Seal,LR/lc,1,0,1,2,1
2001,2,Phoca vitulina,Harbor Seal,LR/lc,1,0,1,2,1
2002,2,Phoca vitulina,Harbor Seal,LR/lc,1,0,1,2,1
2003,2,Phoca vitulina,Harbor Seal,LR/lc,1,0,1,2,1
2004,2,Phoca vitulina,Harbor Seal,LR/lc,1,0,1,2,1
2005,2,Phoca vitulina,Harbor Seal,LR/lc,1,0,1,2,1
2006,2,Phoca vitulina,Harbor Seal,LR/lc,1,0,1,2,1
2007,2,Phoca vitulina,Harbor Seal,LR/lc,1,0,1,2,1
2008,2,Phoca vitulina,Harbor Seal,LC,1,0,1,2,1
2009,2,Phoca vitulina,Harbor Seal,LC,1,0,1,2,1
2010,2,Phoca vitulina,Harbor Seal,LC,1,0,1,2,1
2011,2,Phoca vitulina,Harbor Seal,LC,1,0,1,2,1
2012,2,Phoca vitulina,Harbor Seal,LC,1,0,1,2,1
2013,2,Phoca vitulina,Harbor Seal,LC,1,0,1,2,1
2014,2,Phoca vitulina,Harbor Seal,LC,1,0,1,2,1
2015,2,Phoca vitulina,Harbor Seal,LC,1,0,1,2,1
2016,2,Phoca vitulina,Harbor Seal,LC,1,0,1,2,1
2017,2,Phoca vitulina,Harbor Seal,LC,1,0,1,2,1
2018,2,Phoca vitulina,Harbor Seal,LC,1,0,1,2,1
2000,2,Phocoena phocoena,Harbour Porpoise,VU,1,1,1,3,1
2001,2,Phocoena phocoena,Harbour Porpoise,VU,1,1,1,3,1
2002,2,Phocoena phocoena,Harbour Porpoise,VU,1,1,1,3,1
2003,2,Phocoena phocoena,Harbour Porpoise,VU,1,1,1,3,1
2004,2,Phocoena phocoena,Harbour Porpoise,VU,1,1,1,3,1
2005,2,Phocoena phocoena,Harbour Porpoise,VU,1,1,1,3,1
2006,2,Phocoena phocoena,Harbour Porpoise,VU,1,1,1,3,1
2007,2,Phocoena phocoena,Harbour Porpoise,VU,1,1,1,3,1
2008,2,Phocoena phocoena,Harbour Porpoise,LC,1,1,1,3,1
2009,2,Phocoena phocoena,Harbour Porpoise,LC,1,1,1,3,1
2010,2,Phocoena phocoena,Harbour Porpoise,LC,1,1,1,3,1
2011,2,Phocoena phocoena,Harbour Porpoise,LC,1,1,1,3,1
2012,2,Phocoena phocoena,Harbour Porpoise,LC,1,1,1,3,1
2013,2,Phocoena phocoena,Harbour Porpoise,LC,1,1,1,3,1
2014,2,Phocoena phocoena,Harbour Porpoise,LC,1,1,1,3,1
2015,2,Phocoena phocoena,Harbour Porpoise,LC,1,1,1,3,1
2016,2,Phocoena phocoena,Harbour Porpoise,LC,1,1,1,3,1
2017,2,Phocoena phocoena,Harbour Porpoise,LC,1,1,1,3,1
2018,2,Phocoena phocoena,Harbour Porpoise,LC,1,1,1,3,1
2000,2,Tursiops truncatus,Common Bottlenose Dolphin,DD,0,0,1,1,1
2001,2,Tursiops truncatus,Common Bottlenose Dolphin,DD,0,0,1,1,1
2002,2,Tursiops truncatus,Common Bottlenose Dolphin,DD,0,0,1,1,1
2003,2,Tursiops truncatus,Common Bottlenose Dolphin,DD,0,0,1,1,1
2004,2,Tursiops truncatus,Common Bottlenose Dolphin,DD,0,0,1,1,1
2005,2,Tursiops truncatus,Common Bottlenose Dolphin,DD,0,0,1,1,1
2006,2,Tursiops truncatus,Common Bottlenose Dolphin,DD,0,0,1,1,1
2007,2,Tursiops truncatus,Common Bottlenose Dolphin,DD,0,0,1,1,1
2008,2,Tursiops truncatus,Common Bottlenose Dolphin,LC,0,0,1,1,1
2009,2,Tursiops truncatus,Common Bottlenose Dolphin,LC,0,0,1,1,1
2010,2,Tursiops truncatus,Common Bottlenose Dolphin,LC,0,0,1,1,1
2011,2,Tursiops truncatus,Common Bottlenose Dolphin,LC,0,0,1,1,1
2012,2,Tursiops truncatus,Common Bottlenose Dolphin,LC,0,0,1,1,1
2013,2,Tursiops truncatus,Common Bottlenose Dolphin,LC,0,0,1,1,1
2014,2,Tursiops truncatus,Common Bottlenose Dolphin,LC,0,0,1,1,1
2015,2,Tursiops truncatus,Common Bottlenose Dolphin,LC,0,0,1,1,1
2016,2,Tursiops truncatus,Common Bottlenose Dolphin,LC,0,0,1,1,1
2017,2,Tursiops truncatus,Common Bottlenose Dolphin,LC,0,0,1,1,1
2018,2,Tursiops truncatus,Common Bottlenose Dolphin,LC,0,0,1,1,1
2014,2,Ammodytes tobianus,lesser sand eel,DD,0,0,0,0,1
2015,2,Ammodytes tobianus,lesser sand eel,DD,0,0,0,0,1
2016,2,Ammodytes tobianus,lesser sand eel,DD,0,0,0,0,1
2017,2,Ammodytes tobianus,lesser sand eel,DD,0,0,0,0,1
2018,2,Ammodytes tobianus,lesser sand eel,DD,0,0,0,0,1
2014,3,Ammodytes tobianus,Small Sandeel,DD,0,0,0,0,1
2015,3,Ammodytes tobianus,Small Sandeel,DD,0,0,0,0,1
2016,3,Ammodytes tobianus,Small Sandeel,DD,0,0,0,0,1
2017,3,Ammodytes tobianus,Small Sandeel,DD,0,0,0,0,1
2018,3,Ammodytes tobianus,Small Sandeel,DD,0,0,0,0,1
2015,3,Gobius paganellus,Rock Goby,LC,0,0,0,0,1
2016,3,Gobius paganellus,Rock Goby,LC,0,0,0,0,1
2017,3,Gobius paganellus,Rock Goby,LC,0,0,0,0,1
2018,3,Gobius paganellus,Rock Goby,LC,0,0,0,0,1
2000,3,Hippocampus guttulatus,Long-snouted Seahorse,VU,0,0,0,0,1
2001,3,Hippocampus guttulatus,Long-snouted Seahorse,VU,0,0,0,0,1
2002,3,Hippocampus guttulatus,Long-snouted Seahorse,VU,0,0,0,0,1
2003,3,Hippocampus guttulatus,Long-snouted Seahorse,DD,0,0,0,0,1
2004,3,Hippocampus guttulatus,Long-snouted Seahorse,DD,0,0,0,0,1
2005,3,Hippocampus guttulatus,Long-snouted Seahorse,DD,0,0,0,0,1
2006,3,Hippocampus guttulatus,Long-snouted Seahorse,DD,0,0,0,0,1
2007,3,Hippocampus guttulatus,Long-snouted Seahorse,DD,0,0,0,0,1
2008,3,Hippocampus guttulatus,Long-snouted Seahorse,DD,0,0,0,0,1
2009,3,Hippocampus guttulatus,Long-snouted Seahorse,DD,0,0,0,0,1
2010,3,Hippocampus guttulatus,Long-snouted Seahorse,DD,0,0,0,0,1
2011,3,Hippocampus guttulatus,Long-snouted Seahorse,DD,0,0,0,0,1
2012,3,Hippocampus guttulatus,Long-snouted Seahorse,DD,0,0,0,0,1
2013,3,Hippocampus guttulatus,Long-snouted Seahorse,DD,0,0,0,0,1
2014,3,Hippocampus guttulatus,Long-snouted Seahorse,DD,0,0,0,0,1
2015,3,Hippocampus guttulatus,Long-snouted Seahorse,DD,0,0,0,0,1
2016,3,Hippocampus guttulatus,Long-snouted Seahorse,DD,0,0,0,0,1
2017,3,Hippocampus guttulatus,Long-snouted Seahorse,DD,0,0,0,0,1
2018,3,Hippocampus guttulatus,Long-snouted Seahorse,DD,0,0,0,0,1
2000,3,Hippocampus hippocampus,Short-snouted Seahorse,VU,0,0,0,0,1
2001,3,Hippocampus hippocampus,Short-snouted Seahorse,VU,0,0,0,0,1
2002,3,Hippocampus hippocampus,Short-snouted Seahorse,VU,0,0,0,0,1
2003,3,Hippocampus hippocampus,Short-snouted Seahorse,DD,0,0,0,0,1
2004,3,Hippocampus hippocampus,Short-snouted Seahorse,DD,0,0,0,0,1
2005,3,Hippocampus hippocampus,Short-snouted Seahorse,DD,0,0,0,0,1
2006,3,Hippocampus hippocampus,Short-snouted Seahorse,DD,0,0,0,0,1
2007,3,Hippocampus hippocampus,Short-snouted Seahorse,DD,0,0,0,0,1
2008,3,Hippocampus hippocampus,Short-snouted Seahorse,DD,0,0,0,0,1
2009,3,Hippocampus hippocampus,Short-snouted Seahorse,DD,0,0,0,0,1
2010,3,Hippocampus hippocampus,Short-snouted Seahorse,DD,0,0,0,0,1
2011,3,Hippocampus hippocampus,Short-snouted Seahorse,DD,0,0,0,0,1
2012,3,Hippocampus hippocampus,Short-snouted Seahorse,DD,0,0,0,0,1
2013,3,Hippocampus hippocampus,Short-snouted Seahorse,DD,0,0,0,0,1
2014,3,Hippocampus hippocampus,Short-snouted Seahorse,DD,0,0,0,0,1
2015,3,Hippocampus hippocampus,Short-snouted Seahorse,DD,0,0,0,0,1
2016,3,Hippocampus hippocampus,Short-snouted Seahorse,DD,0,0,0,0,1
2017,3,Hippocampus hippocampus,Short-snouted Seahorse,DD,0,0,0,0,1
2018,3,Hippocampus hippocampus,Short-snouted Seahorse,DD,0,0,0,0,1
2010,3,Labrus mixtus,Cuckoo Wrasse,LC,0,0,0,0,1
